Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,Unnamed: 60
Brazil,BRA,% of females ages 15-49 having comprehensive correct knowledge about HIV (2 prevent ways and reject 3 misconceptions),SH.HIV.KNOW.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brazil,BRA,% of males ages 15-49 having comprehensive correct knowledge about HIV (2 prevent ways and reject 3 misconceptions),SH.HIV.KNOW.MA.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brazil,BRA,"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,92.0468,92.1774,92.308,90.3824,88.4568,86.5312,84.6056,82.68,81.1702,79.6604,78.1506,76.6408,75.131,75.1188,75.1066,75.0944,75.0822,75.07,76.022,76.974,77.926,78.878,79.83,79.9864,80.1428,80.2992,80.4556,80.612,80.4962,80.3804,80.2646,80.1488,80.033,80.7422,81.4514,82.1606,82.8698,83.579,83.0526,82.5262,81.9998,81.4734,80.947,78.9338,76.9206,74.9074,72.8942,70.881,70.3938,69.9066,69.4194,68.9322,68.445,67.8778,67.3106,,
Brazil,BRA,Adults (ages 15+) and children (0-14 years) living with HIV,SH.HIV.TOTL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,290000,310000,330000,340000,350000,360000,380000,390000,410000,430000,460000,480000,500000,530000,550000,580000,600000,630000,650000,680000,700000,730000,750000,780000,800000,830000,
Brazil,BRA,Adults (ages 15+) and children (ages 0-14) newly infected with HIV,SH.HIV.INCD.TL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37000,32000,30000,31000,32000,33000,35000,36000,37000,38000,39000,40000,41000,41000,42000,42000,42000,42000,42000,43000,43000,43000,43000,44000,44000,44000,
Brazil,BRA,Adults (ages 15+) living with HIV,SH.DYN.AIDS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,290000,310000,320000,330000,350000,360000,370000,380000,400000,420000,450000,470000,490000,520000,540000,560000,590000,610000,640000,670000,690000,720000,740000,770000,790000,820000,
Brazil,BRA,Adults (ages 15+) newly infected with HIV,SH.HIV.INCD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36000,30000,29000,29000,30000,31000,33000,34000,35000,36000,37000,38000,38000,39000,40000,40000,41000,41000,41000,42000,42000,43000,43000,43000,43000,44000,
Brazil,BRA,"Age at first marriage, female",SP.DYN.SMAM.FE,22.3,,,,,,,,,,23,,,,,,,,,,22.7,,,,,,22.3,,,,,22.5,,,,,22.7,,,,23.1,,,,,,,,,,29.7,,,,,,
Brazil,BRA,"Age at first marriage, male",SP.DYN.SMAM.MA,26,,,,,,,,,,26.2,,,,,,,,,,25.5,,,,,,,,,,,25.8,,,,,25.4,,,,26.2,,,,,,,,,,31.9,,,,,,
Brazil,BRA,Age dependency ratio (% of working-age population),SP.POP.DPND,86.8887054553567,87.7509269001739,88.5593569884548,89.173612205032,89.3882288092043,89.1083917805141,89.1417529033575,88.4563743784432,87.3246589878481,86.090473828483,84.9076966603379,83.6777313350638,82.5891432667219,81.5157500255529,80.2832043106252,78.858039170354,77.7260344716246,76.4414244975047,75.0963459121048,73.8215224708062,72.6810458209777,72.0028518617364,71.3145528186023,70.6361922243657,69.939589039935,69.1855074166426,68.5960194022633,67.8543863116638,66.9906297447721,66.0333504554526,64.9898331350147,63.8415334751794,62.6818152064347,61.4716636155353,60.1879108388079,58.852924055278,57.6183689689777,56.4256452445417,55.2827235199178,54.2071068348581,53.2140454008233,52.5839345540129,51.9273304948595,51.2852287832759,50.6796373831601,50.0961951822861,49.5319336780002,48.9334991520654,48.3234673869526,47.7330520270242,47.1836685657337,46.5042590058171,45.9978989018195,45.578531461501,45.1428885671926,44.659854666655,
Brazil,BRA,"Age dependency ratio, old",SP.POP.DPND.OL,5.86586251523568,5.97833302752273,6.0853501024034,6.17710241537486,6.24305982731464,6.27839180703828,6.32156464501776,6.3346653193672,6.33074438425011,6.32488411568358,6.32591246572369,6.35899181696669,6.38801693775526,6.41221990138844,6.42981178758801,6.44073153869734,6.46325359997578,6.47374352839344,6.47349717919484,6.46351166408557,6.44615152561791,6.45239767176599,6.44680809164363,6.43550137449343,6.42498282088459,6.41946309251757,6.46275667909467,6.49976589060254,6.53564128250461,6.57659007500773,6.62485556149039,6.74045108949898,6.85685923382972,6.96521106595246,7.05370626032282,7.11876662669976,7.25537259322512,7.370117225714,7.47764210941271,7.59739981230794,7.73918820920183,7.93386722041544,8.1468674003541,8.36901944050364,8.58630997414902,8.79258265061441,8.99175332796503,9.18457715833189,9.38059400408701,9.59200493525779,9.82621549636528,10.0883732637991,10.3684436609445,10.6694144074664,10.9950472653468,11.3480954073468,
Brazil,BRA,"Age dependency ratio, young",SP.POP.DPND.YG,81.0228429401211,81.7725938726512,82.4740068860514,82.9965097896571,83.1451689818896,82.8299999734759,82.8201882583397,82.121709059076,80.993914603598,79.7655897127994,78.5817841946142,77.3187395180972,76.2011263289667,75.1035301241645,73.8533925230372,72.4173076316566,71.2627808716488,69.9676809691113,68.6228487329099,67.3580108067206,66.2348942953598,65.5504541899705,64.8677447269587,64.2006908498723,63.5146062190504,62.766044324125,62.1332627231686,61.3546204210613,60.4549884622675,59.4567603804449,58.3649775735243,57.1010823856804,55.824955972605,54.5064525495829,53.134204578485,51.7341574285783,50.3629963757525,49.0555280188277,47.8050814105051,46.6097070225501,45.4748571916215,44.6500673335975,43.7804630945054,42.9162093427723,42.0933274090111,41.3036125316717,40.5401803500351,39.7489219937335,38.9428733828656,38.1410470917664,37.3574530693685,36.4158857420179,35.6294552408749,34.9091170540346,34.1478413018458,33.3117592593082,
Brazil,BRA,"Age population, age 0, female, interpolated",SP.POP.AG00.FE.IN,1327004,1376322,1433404,1489358,1532268,1554082,1544966,1517055,1480815,1451487,1440662,1454469,1485826,1530045,1579418,1627497,1671125,1712819,1751461,1786055,1815690,1839110,1857690,1868251,1867281,1853073,1824031,1783766,1738085,1695117,1661245,1639489,1626202,1623263,1631988,1652196,1685677,1729418,1774874,1810543,1828014,1822947,1801212,1764160,1715125,1658039,1592041,1517976,1447413,1395459,1372049,1386405,1429436,1485579,1532598,1554542,
Brazil,BRA,"Age population, age 0, male, interpolated",SP.POP.AG00.MA.IN,1359214,1409538,1467868,1525140,1569221,1591904,1582776,1554734,1518406,1489242,1478974,1493504,1526051,1571863,1623128,1673247,1718684,1762464,1803254,1839864,1871248,1896477,1916716,1928670,1928774,1915331,1887543,1848284,1803374,1760955,1727419,1706323,1693439,1690866,1700184,1721363,1756102,1801384,1848468,1885553,1903995,1899101,1877259,1839639,1789395,1730414,1661690,1584326,1510450,1455934,1431248,1446117,1490882,1549414,1598641,1621992,
Brazil,BRA,"Age population, age 01, female, interpolated",SP.POP.AG01.FE.IN,1285115,1317251,1375966,1422907,1461945,1488111,1531840,1489038,1478465,1469259,1467310,1445697,1492439,1514619,1542133,1573425,1615238,1642959,1680772,1717814,1752173,1802393,1810191,1832085,1844455,1845208,1847441,1810651,1781471,1750250,1721100,1670151,1673511,1655856,1647241,1649578,1650617,1689268,1718626,1745065,1762788,1810553,1767155,1756025,1733675,1700085,1660756,1597724,1538634,1488584,1455529,1388088,1453525,1470192,1485528,1491482,
Brazil,BRA,"Age population, age 01, male, interpolated",SP.POP.AG01.MA.IN,1312571,1345840,1405071,1452862,1492546,1519051,1563462,1518873,1507724,1498169,1496246,1477698,1522100,1545388,1574549,1607974,1656925,1682700,1723718,1763946,1801249,1856797,1865094,1889480,1903870,1906125,1909583,1874551,1846199,1815484,1786591,1735993,1739922,1722510,1714273,1717248,1718812,1758701,1789137,1816597,1835149,1884803,1840106,1828980,1806135,1771437,1731985,1664953,1603427,1551293,1516855,1447307,1514892,1532306,1548485,1555089,
Brazil,BRA,"Age population, age 02, female, interpolated",SP.POP.AG02.FE.IN,1243020,1275380,1307060,1362330,1398496,1428195,1474196,1512655,1468400,1475292,1481089,1464726,1449050,1500499,1512325,1531104,1565850,1603404,1622492,1659779,1696386,1744945,1790008,1794993,1817604,1830325,1840964,1842575,1810186,1789969,1766458,1722318,1677972,1686134,1665428,1654524,1648052,1648481,1679394,1696968,1713172,1756515,1794608,1745804,1743390,1728150,1700039,1663519,1610575,1564563,1526190,1460018,1402474,1467992,1458842,1451727,
Brazil,BRA,"Age population, age 02, male, interpolated",SP.POP.AG02.MA.IN,1266383,1299775,1332046,1387392,1423818,1453467,1499967,1538307,1490958,1497120,1502524,1488592,1474815,1522329,1535525,1556401,1597612,1641222,1657596,1698859,1739250,1793324,1843273,1848847,1874277,1889158,1901632,1904462,1873823,1854220,1831029,1787453,1743314,1751902,1731454,1720966,1714896,1715723,1747504,1765790,1782701,1827736,1867302,1816696,1814322,1798594,1770580,1733671,1676773,1629115,1589342,1521070,1461556,1529116,1519759,1512689,
Brazil,BRA,"Age population, age 03, female, interpolated",SP.POP.AG03.FE.IN,1200862,1233946,1265223,1296841,1341232,1373722,1420096,1463209,1494994,1470788,1483281,1474176,1460429,1451642,1488822,1498911,1526816,1558685,1591971,1610991,1647740,1693238,1738596,1777878,1787440,1809389,1827143,1837482,1837916,1815659,1798490,1763000,1722415,1685373,1685609,1665639,1653142,1645968,1646213,1664402,1677647,1714001,1751708,1779181,1745615,1744073,1726450,1700039,1666155,1624871,1584911,1523532,1462755,1416019,1449922,1432462,
Brazil,BRA,"Age population, age 03, male, interpolated",SP.POP.AG03.MA.IN,1220737,1254800,1286572,1318253,1362250,1394426,1441174,1484019,1514835,1487123,1498902,1491636,1479316,1471267,1504698,1516739,1550292,1587845,1625967,1643633,1684691,1735752,1786295,1829900,1840794,1865480,1885681,1897761,1899403,1878555,1861889,1827225,1787021,1750136,1750732,1731061,1718901,1712005,1712542,1731171,1745025,1782820,1821956,1850394,1815261,1813701,1796340,1769839,1735254,1690890,1649595,1586260,1523367,1474899,1509709,1491823,
Brazil,BRA,"Age population, age 04, female, interpolated",SP.POP.AG04.FE.IN,1158787,1192939,1224462,1255037,1287301,1324080,1369303,1414805,1453705,1477005,1475160,1474749,1465535,1455374,1454663,1475220,1496721,1522927,1551909,1580718,1605649,1646997,1690944,1732498,1765636,1783363,1806986,1824718,1834208,1832864,1818364,1792855,1758391,1722080,1692938,1681530,1664471,1651204,1643754,1644275,1654698,1682161,1716254,1747412,1763342,1749694,1741642,1724798,1699907,1668385,1632574,1578765,1519036,1464625,1429775,1430871,
Brazil,BRA,"Age population, age 04, male, interpolated",SP.POP.AG04.MA.IN,1175723,1210840,1242825,1273371,1305181,1341199,1386723,1431881,1469702,1491097,1486480,1487346,1479118,1469378,1468245,1487200,1513422,1544757,1578511,1610832,1637009,1683841,1733118,1779412,1816239,1836150,1862802,1882821,1893955,1893809,1880326,1855938,1822093,1786081,1757143,1746066,1729334,1716295,1709025,1709750,1720494,1749118,1784529,1816763,1833059,1818569,1810898,1794205,1768992,1736400,1698495,1642993,1581169,1524728,1488508,1489526,
Brazil,BRA,"Age population, age 05, female, interpolated",SP.POP.AG05.FE.IN,1116936,1152354,1184618,1214951,1245509,1278662,1321587,1367587,1410953,1443893,1458009,1467143,1464490,1456136,1450754,1458412,1474146,1494920,1519417,1545311,1569522,1605946,1647083,1688892,1726291,1753216,1781493,1805330,1822498,1830541,1827248,1812538,1786047,1753345,1721918,1700803,1680618,1662742,1649132,1641869,1642804,1660157,1688075,1719015,1742721,1746850,1747258,1739257,1723011,1699363,1670062,1625864,1570712,1513643,1466726,1444142,
Brazil,BRA,"Age population, age 05, male, interpolated",SP.POP.AG05.MA.IN,1131433,1167822,1200563,1230849,1260868,1293060,1336250,1381897,1424168,1455142,1466351,1476244,1474165,1465943,1459972,1465992,1485458,1510662,1539644,1569296,1595641,1637354,1683831,1730631,1772252,1802219,1834074,1860736,1880027,1889616,1887497,1874228,1848639,1816446,1785334,1764522,1744701,1727066,1713599,1706432,1707481,1725691,1754767,1786815,1811157,1815016,1815876,1808213,1791961,1767701,1736931,1691380,1634306,1575112,1526381,1502831,
Brazil,BRA,"Age population, age 06, female, interpolated",SP.POP.AG06.FE.IN,1075454,1112381,1145536,1176272,1206076,1236853,1276383,1321697,1367264,1406814,1433107,1452673,1457406,1453473,1447180,1446864,1457501,1473454,1493491,1516082,1538770,1569514,1607049,1647407,1686737,1719912,1751651,1780361,1803879,1819891,1826311,1823230,1805528,1778797,1748477,1722064,1700201,1679140,1660879,1647391,1640451,1646472,1666993,1694487,1721391,1737383,1745144,1744869,1736736,1720806,1698255,1665714,1617188,1561735,1508498,1469458,
Brazil,BRA,"Age population, age 06, male, interpolated",SP.POP.AG06.MA.IN,1087954,1125899,1159554,1190287,1219548,1249281,1289098,1334068,1378600,1416233,1439610,1459483,1464396,1460327,1453300,1451329,1464654,1484264,1508317,1534648,1560028,1595754,1638514,1683961,1727873,1764741,1800565,1832599,1858732,1876702,1884559,1883262,1866768,1840817,1810998,1784966,1763555,1742787,1724706,1711292,1704362,1710926,1732423,1760988,1788702,1804854,1813101,1813302,1805418,1789266,1765784,1732319,1682119,1624624,1569365,1528770,
